program_id	g_ERP	g_GSE	mean_g	min_g	both_positive	both_ge_corresponding_AF35
RANDOM_1745	-0.0787629558799226	0.327906750006904	0.1245718970634907	-0.0787629558799226	False	False
RANDOM_1746	-0.345420154618181	-0.0904671556334426	-0.2179436551258118	-0.345420154618181	False	False
RANDOM_1747	-0.148349683708248	0.0814010599095537	-0.03347431189934715	-0.148349683708248	False	False
RANDOM_1748	0.291799649897804	-0.0464050000629261	0.12269732491743895	-0.0464050000629261	False	False
RANDOM_1749	-0.287595233853552	0.141235245273403	-0.0731799942900745	-0.287595233853552	False	False
RANDOM_1750	0.0777493488774843	0.271813305911649	0.17478132739456664	0.0777493488774843	True	False
RANDOM_1751	-0.196185125059328	0.169057719208527	-0.013563702925400503	-0.196185125059328	False	False
RANDOM_1752	0.208935635620546	0.408240687728399	0.3085881616744725	0.208935635620546	True	False
RANDOM_1753	0.392862493750652	0.116425780541251	0.2546441371459515	0.116425780541251	True	False
RANDOM_1754	0.447741675586476	0.318737926180868	0.383239800883672	0.318737926180868	True	False
RANDOM_1755	-0.0428193054769852	0.322011680819135	0.1395961876710749	-0.0428193054769852	False	False
RANDOM_1756	0.224515161863428	0.0768969448653875	0.15070605336440773	0.0768969448653875	True	False
RANDOM_1757	0.520688706184056	0.0667180181657375	0.2937033621748968	0.0667180181657375	True	False
RANDOM_1758	0.395113020133262	0.0676258156057185	0.23136941786949025	0.0676258156057185	True	False
RANDOM_1759	0.610368291736573	0.076221649126246	0.3432949704314095	0.076221649126246	True	False
RANDOM_1760	0.482369586919658	0.0536663520143788	0.2680179694670184	0.0536663520143788	True	False
RANDOM_1761	0.103019111135285	-0.141625278400459	-0.019303083632586995	-0.141625278400459	False	False
RANDOM_1762	0.0861454973482441	0.387978669444024	0.23706208339613405	0.0861454973482441	True	False
RANDOM_1763	0.247533057282336	-0.186776087741739	0.03037848477029849	-0.186776087741739	False	False
RANDOM_1764	0.0642357953966065	0.386126929051163	0.22518136222388477	0.0642357953966065	True	False
RANDOM_1765	0.78504215445248	0.387289679367041	0.5861659169097605	0.387289679367041	True	False
RANDOM_1766	-0.377313139834428	0.10684051684157	-0.135236311496429	-0.377313139834428	False	False
RANDOM_1767	0.149794683023127	0.122001622819397	0.135898152921262	0.122001622819397	True	False
RANDOM_1768	0.522439601261443	0.0464895142925656	0.2844645577770043	0.0464895142925656	True	False
RANDOM_1769	0.114465232082535	0.0028756035700505	0.05867041782629275	0.0028756035700505	True	False
RANDOM_1770	0.240041103779395	0.145560316420191	0.192800710099793	0.145560316420191	True	False
RANDOM_1771	0.451052778256502	0.191213698057781	0.32113323815714145	0.191213698057781	True	False
RANDOM_1772	0.140667565929522	0.267405180254441	0.2040363730919815	0.140667565929522	True	False
RANDOM_1773	0.21848558557178	0.0146895469239018	0.11658756624784089	0.0146895469239018	True	False
RANDOM_1774	0.371069686615207	-0.0483151871473668	0.1613772497339201	-0.0483151871473668	False	False
RANDOM_1775	0.273083332703225	0.167723094465834	0.2204032135845295	0.167723094465834	True	False
RANDOM_1776	-0.123767501383238	0.0691321370342259	-0.02731768217450605	-0.123767501383238	False	False
RANDOM_1777	-0.123920941517258	0.289742632512056	0.08291084549739901	-0.123920941517258	False	False
RANDOM_1778	-0.134339853228408	0.26582089833507	0.065740522553331	-0.134339853228408	False	False
RANDOM_1779	-0.398313656260934	0.390827135755678	-0.003743260252628	-0.398313656260934	False	False
RANDOM_1780	0.180712601562388	0.209388302067255	0.1950504518148215	0.180712601562388	True	False
RANDOM_1781	0.103752257794193	-0.121921385672511	-0.009084563939158997	-0.121921385672511	False	False
RANDOM_1782	0.491602254337142	0.464658568945647	0.47813041164139447	0.464658568945647	True	False
RANDOM_1783	0.495867791938486	-0.142171687521915	0.1768480522082855	-0.142171687521915	False	False
RANDOM_1784	0.190293172922229	0.228996438944148	0.20964480593318852	0.190293172922229	True	False
