dataset	state	state_order	marker	marker_order	marker_block	n_patients	total_cells	patient_median_mean_log1p_cp10k	patient_q25_mean_log1p_cp10k	patient_q75_mean_log1p_cp10k	patient_median_positive_fraction	patient_q25_positive_fraction	patient_q75_positive_fraction	patient_median_pseudobulk_log2_cpm	aggregation	response_used_in_summary	biological_unit	within_marker_z
GSE206325	CD8_terminal_exhausted	3	SLAMF6	5	Progenitor_memory	20	15864	0.305894993148039	0.232937849318775	0.421072912758365	0.240630797773655	0.194425483503982	0.358666458315659	6.15228162493799	unweighted median across eligible patient-state rows	FALSE	patient	0.299131317349762
GSE206325	CD8_terminal_exhausted	3	GZMK	6	Effector_cytotoxic	20	15864	0.871922024450187	0.481137984697769	1.21305658531185	0.397615777080063	0.244685990338164	0.557883522727273	8.53235676237228	unweighted median across eligible patient-state rows	FALSE	patient	-0.0169622865032937
GSE206325	CD8_terminal_exhausted	3	CCL5	7	Effector_cytotoxic	20	15864	3.35342419837118	3.13767530222297	3.56678074366561	0.972079918032787	0.957978987950787	0.986135895676047	11.922711543188	unweighted median across eligible patient-state rows	FALSE	patient	0.915364795084149
GSE206325	CD8_terminal_exhausted	3	GZMB	8	Effector_cytotoxic	20	15864	0.837586687466668	0.438187630684474	1.76596762961735	0.38973063973064	0.234631147540984	0.685543398513509	8.97750009950089	unweighted median across eligible patient-state rows	FALSE	patient	0.415497823110976
GSE206325	CD8_terminal_exhausted	3	PRF1	9	Effector_cytotoxic	20	15864	1.22516821677873	0.802219957300936	1.30092809848342	0.635519376289842	0.489182487201365	0.732954545454545	8.65560653748334	unweighted median across eligible patient-state rows	FALSE	patient	0.861151350100631
GSE206325	CD8_terminal_exhausted	3	IFNG	10	Effector_cytotoxic	20	15864	0.928713930409175	0.704290748414393	1.16909608104735	0.489515139116203	0.391027759418374	0.580915178571429	8.51035732403907	unweighted median across eligible patient-state rows	FALSE	patient	1.30010003139205
GSE206325	CD8_terminal_exhausted	3	TNF	11	Effector_cytotoxic	20	15864	0.184345048919636	0.133952221044588	0.332380619887981	0.129723976929415	0.07660797260944	0.188929731790604	5.85268335813945	unweighted median across eligible patient-state rows	FALSE	patient	-0.819942882652606
GSE206325	CD8_terminal_exhausted	3	FGFBP2	12	Effector_cytotoxic	20	15864	0.00824814012203406	0	0.040746204552416	0.00557731401182417	0	0.0263833992094862	2.08624875774033	unweighted median across eligible patient-state rows	FALSE	patient	-0.423877799266552
GSE206325	CD8_terminal_exhausted	3	PDCD1	13	Checkpoint_exhaustion	20	15864	0.911735984046749	0.81137545797947	1.15948195270448	0.587289759420907	0.479726746467818	0.719387755102041	8.00343913610828	unweighted median across eligible patient-state rows	FALSE	patient	1.6788619330059
GSE206325	CD8_terminal_exhausted	3	HAVCR2	14	Checkpoint_exhaustion	20	15864	0.566557523308541	0.378644899863989	0.776858378815377	0.35699643603969	0.279859484777518	0.471783496007098	7.26838191054736	unweighted median across eligible patient-state rows	FALSE	patient	1.59936178990565
GSE206325	CD8_terminal_exhausted	3	LAG3	15	Checkpoint_exhaustion	20	15864	1.39942780785035	1.13229865312632	1.7629672469146	0.715427610426868	0.587101439688248	0.787344028520499	9.25611069582045	unweighted median across eligible patient-state rows	FALSE	patient	1.11684962381208
GSE206325	CD8_terminal_exhausted	3	TIGIT	16	Checkpoint_exhaustion	20	15864	0.968247346758376	0.882300437816802	1.21148818970923	0.576697892271663	0.456996598412593	0.726700041718815	8.4314428845325	unweighted median across eligible patient-state rows	FALSE	patient	-0.00127899009886261
GSE206325	CD8_terminal_exhausted	3	TOX	17	Checkpoint_exhaustion	20	15864	0.783086394967841	0.617162375232792	0.997868613518581	0.548512920526572	0.369138936905791	0.672834346504559	7.64549532899253	unweighted median across eligible patient-state rows	FALSE	patient	1.23482267917687
GSE206325	CD8_terminal_exhausted	3	ENTPD1	18	Checkpoint_exhaustion	20	15864	0.410532829425118	0.141740116405301	0.570409288148591	0.278742248418984	0.103741496598639	0.392946684471938	6.71639541284606	unweighted median across eligible patient-state rows	FALSE	patient	0.822334423399546
GSE206325	CD8_terminal_exhausted	3	CXCL13	19	Checkpoint_exhaustion	20	15864	1.70117666205583	1.05016545087059	3.02109032017681	0.613795518207283	0.374793663034917	0.804918032786885	11.0975260492676	unweighted median across eligible patient-state rows	FALSE	patient	0.578520975997168
GSE206325	CD8_terminal_exhausted	3	LAYN	20	Checkpoint_exhaustion	20	15864	0.24547220305074	0.175578311780305	0.340393504639699	0.180194805194805	0.111390315480558	0.223927068723703	5.8105838200155	unweighted median across eligible patient-state rows	FALSE	patient	0.248674420141426
GSE206325	CD8_terminal_exhausted	3	MKI67	21	Proliferation	20	15864	0.0343539816219728	0.016926883346345	0.0542172817006551	0.0269128477905074	0.0121247058150947	0.0473789104375792	3.44728809134637	unweighted median across eligible patient-state rows	FALSE	patient	-0.398944012202684
GSE206325	CD8_terminal_exhausted	3	TOP2A	22	Proliferation	20	15864	0.03173468904022	0.0202351872624453	0.0436273688579881	0.0220567933427925	0.0153245192307692	0.0399984199325509	3.27105852324187	unweighted median across eligible patient-state rows	FALSE	patient	-0.419742843328194
GSE206325	CD8_terminal_exhausted	3	STMN1	23	Proliferation	20	15864	0.423102422397652	0.296721446052564	0.488249882530572	0.271698005044715	0.227545891608392	0.345550539040908	6.78320639787123	unweighted median across eligible patient-state rows	FALSE	patient	-0.312905804850315
GSE206325	CD8_terminal_exhausted	3	IL21	24	Tfh_support	20	15864	0.0504341223212705	0.0259257437425201	0.0731457824065194	0.0368916284962479	0.016647500419047	0.050487012987013	3.64619583011991	unweighted median across eligible patient-state rows	FALSE	patient	0.00325945827372635
GSE206325	CD8_terminal_exhausted	3	CH25H	25	Tfh_support	20	15864	0.185602642011299	0.067953943140703	0.300807266004184	0.13252508361204	0.0528396793334263	0.190307328605201	5.66012667094542	unweighted median across eligible patient-state rows	FALSE	patient	0.101068143461437
GSE206325	CD8_terminal_exhausted	3	ICOS	26	Tfh_support	20	15864	0.575547808441841	0.425605484578287	0.749920341783978	0.400476128880079	0.279100529100529	0.490217391304348	7.13775525955898	unweighted median across eligible patient-state rows	FALSE	patient	-0.0421068241070205
GSE206325	CD8_terminal_exhausted	3	TOX2	27	Tfh_support	20	15864	0.428976355846792	0.335901401515318	0.529594183409036	0.337625495072304	0.242244581568122	0.372727272727273	6.78960035933737	unweighted median across eligible patient-state rows	FALSE	patient	0.452448073392054
GSE206325	CD8_terminal_exhausted	3	FOXP3	28	Regulatory	20	15864	0.0104271341626353	0	0.0291218524459711	0.00855301065975223	0	0.0188951348457472	2.01279715768203	unweighted median across eligible patient-state rows	FALSE	patient	-0.499361487169252
GSE206325	CD8_terminal_exhausted	3	IL2RA	29	Regulatory	20	15864	0.02273424033566	0.0112092276199889	0.0726756353075392	0.0206116576323362	0.00857091945830364	0.0574795574795575	2.83382798789912	unweighted median across eligible patient-state rows	FALSE	patient	-0.50796891902146
GSE206325	CD8_terminal_exhausted	3	CTLA4	30	Regulatory	20	15864	1.14623969128358	1.04222491607327	1.32855882106283	0.678610732627607	0.566574369701641	0.696466697609654	8.60392203767132	unweighted median across eligible patient-state rows	FALSE	patient	0.410924212334618
GSE206325	CD8_terminal_exhausted	3	TNFRSF18	31	Regulatory	20	15864	0.259982293340518	0.158751259018416	0.484427511475539	0.162886536815731	0.107972756410256	0.309137291280148	6.26643838509921	unweighted median across eligible patient-state rows	FALSE	patient	-0.544949816269985
GSE206325	CD8_terminal_exhausted	3	IKZF2	32	Regulatory	20	15864	0.0440286864154522	0.014220896764054	0.0883084701743234	0.0368718238283456	0.0112871503496503	0.0624449217889403	3.26353935657901	unweighted median across eligible patient-state rows	FALSE	patient	-0.567378040300156
GSE206325	T_proliferating	4	TCF7	1	Progenitor_memory	20	8786	0.071712140403334	0.0475229089659034	0.131330848401135	0.0906184779536036	0.0639452011403231	0.171977411048689	3.9721900504312	unweighted median across eligible patient-state rows	FALSE	patient	-0.201544216531009
GSE206325	T_proliferating	4	CCR7	2	Progenitor_memory	20	8786	0.0923624427089996	0.0663346079415434	0.159903889133202	0.0962380573248408	0.082972582972583	0.163118664281455	4.48275508389469	unweighted median across eligible patient-state rows	FALSE	patient	-0.186583960750954
GSE206325	T_proliferating	4	LEF1	3	Progenitor_memory	20	8786	0.172496802972936	0.0883905020944623	0.223493287769873	0.185546875	0.119458445237482	0.254097311139565	5.09789313733975	unweighted median across eligible patient-state rows	FALSE	patient	-0.203052354969429
GSE206325	T_proliferating	4	IL7R	4	Progenitor_memory	20	8786	0.653076352376987	0.322242858295895	1.13270599079322	0.417778445512821	0.240291492593999	0.66875	7.59177478370949	unweighted median across eligible patient-state rows	FALSE	patient	-0.548908458634957
GSE206325	T_proliferating	4	SLAMF6	5	Progenitor_memory	20	8786	0.21105302774029	0.167008726740085	0.280041606574517	0.317808365343577	0.213177318379473	0.406879853415932	5.07505252235179	unweighted median across eligible patient-state rows	FALSE	patient	-0.801936125033988
GSE206325	T_proliferating	4	GZMK	6	Effector_cytotoxic	20	8786	0.908558020043508	0.570194160280839	1.1010209913297	0.459163488336017	0.393871805991543	0.640252976190476	8.42953154491918	unweighted median across eligible patient-state rows	FALSE	patient	0.0209189758537853
GSE206325	T_proliferating	4	CCL5	7	Effector_cytotoxic	20	8786	2.13604980515082	1.85315845281513	2.32660614998589	0.796046401515151	0.714610717896865	0.874849498013982	10.3152783162588	unweighted median across eligible patient-state rows	FALSE	patient	0.0654608468117335
GSE206325	T_proliferating	4	GZMB	8	Effector_cytotoxic	20	8786	0.598007771203719	0.353410436619707	1.15598084277961	0.39775641025641	0.206643300513699	0.566530789447614	7.93191515117634	unweighted median across eligible patient-state rows	FALSE	patient	0.0191527264473092
GSE206325	T_proliferating	4	PRF1	9	Effector_cytotoxic	20	8786	0.850375016412293	0.535160522781237	0.928998227192375	0.615874805846933	0.537006674686639	0.745336669699727	7.6249583350473	unweighted median across eligible patient-state rows	FALSE	patient	0.0478688294931664
GSE206325	T_proliferating	4	IFNG	10	Effector_cytotoxic	20	8786	0.539853078459599	0.407606653021699	0.808754858934915	0.453553082191781	0.372354497354497	0.598774231187937	7.31294588335116	unweighted median across eligible patient-state rows	FALSE	patient	0.0288918268683676
GSE206325	T_proliferating	4	TNF	11	Effector_cytotoxic	20	8786	0.318987374734689	0.222365729102179	0.535079412442121	0.302768511373285	0.190691692073171	0.46840242669363	6.45604936092131	unweighted median across eligible patient-state rows	FALSE	patient	0.486403596581893
GSE206325	T_proliferating	4	FGFBP2	12	Effector_cytotoxic	20	8786	0.0168073765831836	0.00749881616206934	0.0722703165771856	0.0155122655122655	0.010901738556338	0.0611945510617335	2.35137321503491	unweighted median across eligible patient-state rows	FALSE	patient	0.54923874389093
GSE206325	T_proliferating	4	PDCD1	13	Checkpoint_exhaustion	20	8786	0.483796707386473	0.334894230857642	0.727613653577148	0.488157242063492	0.388215015321757	0.651686264902825	6.65465834137135	unweighted median across eligible patient-state rows	FALSE	patient	-0.191125687536099
GSE206325	T_proliferating	4	HAVCR2	14	Checkpoint_exhaustion	20	8786	0.315053285636565	0.123484766381838	0.429642353642984	0.311379379997861	0.148306505700872	0.384920634920635	5.75551598230198	unweighted median across eligible patient-state rows	FALSE	patient	0.179752544403135
GSE206325	T_proliferating	4	LAG3	15	Checkpoint_exhaustion	20	8786	0.811236779837944	0.426127715337133	1.07053693063055	0.614252414252414	0.385663138231631	0.710778362336436	7.71277997988045	unweighted median across eligible patient-state rows	FALSE	patient	-0.0282415069547099
GSE206325	T_proliferating	4	TIGIT	16	Checkpoint_exhaustion	20	8786	0.611844527796906	0.43747039971819	0.899128922334818	0.539404701505158	0.378246753246753	0.724240568348849	7.22893059568312	unweighted median across eligible patient-state rows	FALSE	patient	-0.85485704358024
GSE206325	T_proliferating	4	TOX	17	Checkpoint_exhaustion	20	8786	0.439952549391946	0.346397311449841	0.576068903362534	0.416907793209877	0.368667101543814	0.591787989080983	6.361005357839	unweighted median across eligible patient-state rows	FALSE	patient	-0.75418911339326
GSE206325	T_proliferating	4	ENTPD1	18	Checkpoint_exhaustion	20	8786	0.250524909473906	0.10347793390415	0.385264133076976	0.256971266385768	0.120733845946311	0.41953046953047	5.54512543208917	unweighted median across eligible patient-state rows	FALSE	patient	-0.179791032887934
GSE206325	T_proliferating	4	CXCL13	19	Checkpoint_exhaustion	20	8786	0.536705467582521	0.189829906900042	1.29840032255031	0.214599091029724	0.0767953507679535	0.533160237947429	9.66381418257904	unweighted median across eligible patient-state rows	FALSE	patient	-0.575615212752183
GSE206325	T_proliferating	4	LAYN	20	Checkpoint_exhaustion	20	8786	0.104668619420773	0.0562529422992774	0.162986574290862	0.10351198097677	0.0490384615384615	0.219346594408178	4.30324231167203	unweighted median across eligible patient-state rows	FALSE	patient	-0.421872858558706
GSE206325	T_proliferating	4	MKI67	21	Proliferation	20	8786	1.29728647771293	1.18703811028928	1.40820701779416	0.828191370444892	0.7855089452678	0.849486301369863	8.63466923553383	unweighted median across eligible patient-state rows	FALSE	patient	2.03888615095187
