gene_i	gene_j	ERP117672	GSE302495
LCK	PDCD1	0.7512605042016807	0.563190721085458
LCK	LAG3	0.5918767507002801	0.653572600941022
LCK	TIGIT	0.823249299719888	0.5041032935769778
LCK	TOX	0.711484593837535	0.518765729292045
FYN	ZAP70	0.6330532212885155	0.6616697669329249
FYN	LAT	0.5296918767507003	0.34942165006709014
FYN	LCP2	0.8033613445378153	0.6533537586169165
FYN	TRAT1	0.45913579494903767	0.325309114782799
FYN	NFKB1	0.3943977591036415	0.27059853375642845
FYN	REL	0.2235294117647059	0.45333187438450595
FYN	RELA	0.16806722689075632	-0.276726118831382
FYN	NFKBIA	0.4277310924369748	0.36579494474231317
FYN	TNFAIP3	0.5425770308123249	0.46230440967283076
FYN	STAT1	0.5840336134453782	0.24783893204945834
FYN	IRF1	0.5028011204481793	0.5113250902724588
FYN	IFIT1	0.06918767507002802	-0.06598096071780282
FYN	IFIT2	0.20420168067226896	0.18349928876244667
FYN	IFIT3	0.0565826330532213	0.0771419192471824
FYN	ISG15	0.2582633053221289	-0.12856986541197066
FYN	MX1	0.06274509803921569	0.15067294014662436
FYN	OAS1	-0.07899159663865547	0.2754130648867491
FYN	CXCL9	0.6837535014005603	0.4290403764087975
FYN	CXCL10	0.5467787114845939	0.23098807309333624
FYN	IFNG	0.546931935170237	0.2584074285585639
FYN	TNF	0.7311844822679863	0.5531239741766059
FYN	CCL5	0.765546218487395	0.6804902068059963
FYN	NKG7	0.6364145658263306	0.5218295218295218
FYN	PRF1	0.6456582633053223	0.58682569208885
FYN	GZMB	0.5739495798319328	0.5480906007221797
FYN	PDCD1	0.39187675070028016	0.48572053835211726
FYN	LAG3	0.31064425770308124	0.5579385053069263
FYN	TIGIT	0.6848739495798319	0.3272786956997483
FYN	TOX	0.4652661064425771	0.44501586606849763
ZAP70	LAT	0.8070028011204482	0.2041164968257007
ZAP70	LCP2	0.6857142857142857	0.5719444140496772
ZAP70	TRAT1	0.46109671658701407	0.46449283291388554
ZAP70	NFKB1	0.3072829131652662	0.22704891125943757
ZAP70	REL	0.22128851540616248	0.36754568333515697
ZAP70	RELA	0.18795518207282913	-0.45486377065324435
ZAP70	NFKBIA	0.48655462184873954	0.2668782142466353
ZAP70	TNFAIP3	0.46834733893557423	0.3500382974067185
ZAP70	STAT1	0.5599439775910364	0.49906992012255164
ZAP70	IRF1	0.5887955182072829	0.41240835977678086
ZAP70	IFIT1	0.06274509803921569	0.17299485720538352
ZAP70	IFIT2	0.2873949579831933	0.2642521063573695
ZAP70	IFIT3	0.27759103641456584	0.27388116861801065
ZAP70	ISG15	0.19019607843137257	0.02199365357260094
