released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD8_C03_CX3CR1	0.39901585926	1.30804372978	-0.14390452039
CD4_C05_GNLY	-0.140654221633	0.350353680854	0.0891469889134
CD8_C03_CX3CR1	0.381781054436	1.74711651196	0.0935338574739
CD8_C06_IKZF2	0.492018869799	1.68612121212	0.544094765262
CD8_C08_GZMK	0.318785900403	-0.425110497659	0.0352681910049
CD8_C03_CX3CR1	0.0744215310342	0.897531106611	-0.352763613388
CD8_C08_GZMK	-0.13282806602	1.03966735552	-0.352763613388
CD4_C01_CCR7	-0.706402814765	-0.554638486394	-0.352763613388
CD8_C03_CX3CR1	-0.0878942483019	1.11592077145	0.248996263388
CD4_C02_IL7R	0.0174944980054	-0.519497182627	-0.352763613388
CD4_C01_CCR7	-0.423785675288	-0.647168521725	-0.0920600904712
CD4_C02_IL7R	0.252075516345	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	0.172086222084	0.957592771181	-0.352763613388
CD8_C03_CX3CR1	0.138056572766	1.52817489266	-0.352763613388
CD8_C03_CX3CR1	-0.123559690984	1.0977777915	0.0683206052751
CD4_C03_CD44	0.210928490025	-0.572063203393	-0.352763613388
CD8_C03_CX3CR1	-0.180205139948	1.63583981563	-0.11254351441
CD4_C01_CCR7	-0.389181664736	-0.647168521725	-0.134522677
CD8_C05_CCR7	-0.00465008215514	-0.394756469627	-0.352763613388
CD4_C01_CCR7	-0.412493512967	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.171697842089	-0.279858269152	-0.352763613388
CD4_C01_CCR7	-0.0414663377147	-0.647168521725	-0.352763613388
CD4_C02_IL7R	-0.0472883717391	-0.647168521725	-0.126551602753
CD4_C01_CCR7	-0.0703171237112	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.593293777229	1.0912181787	-0.0613940949758
CD8_C02_GPR183	-0.431045498176	-0.647168521725	-0.208192729668
CD4_C01_CCR7	-0.12665436984	-0.555796490642	0.25546218778
CD4_C01_CCR7	-0.0111410958675	-0.647168521725	-0.12910627275
CD4_C08_FOXP3	0.342622311515	-0.647168521725	0.0103081493565
CD4_C03_CD44	-0.186626684316	-0.401237716608	-0.119518399401
CD8_C03_CX3CR1	0.889344356622	1.93355733653	-0.134147957422
CD4_C01_CCR7	-0.697318708258	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.661594766729	-0.647168521725	-0.232009453768
CD4_C03_CD44	-0.493382637039	-0.557307421209	0.165518964932
CD8_C10_SLC4A10	-0.0114711277882	-0.234776996823	-0.352763613388
CD8_C02_GPR183	-0.820814063933	-0.537216339725	-0.352763613388
CD8_C05_CCR7	-0.572473418798	-0.0018909853536	-0.140730637927
CD4_C01_CCR7	-0.00149955265822	-0.521529204269	0.00531573543611
CD8_C10_SLC4A10	-0.136240915223	-0.0263306516714	-0.168299232091
CD4_C01_CCR7	0.0464737424342	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.000881940720874	-0.535687434783	-0.352763613388
CD4_C05_GNLY	-0.211492655748	0.484503290997	-0.352763613388
CD8_C01_LEF1	-0.394585455064	-0.554152748523	-0.352763613388
CD4_C08_FOXP3	-0.142535536798	-0.647168521725	0.157059221672
CD4_C01_CCR7	-0.337959874332	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.0469969031569	-0.647168521725	-0.352763613388
CD8_C02_GPR183	-0.626937272692	-0.433032867932	-0.221482425046
CD4_C01_CCR7	0.0988987364044	-0.647168521725	-0.229365001416
CD4_C01_CCR7	-0.243079545067	-0.647168521725	-0.145251952936
CD4_C03_CD44	-0.186631795656	-0.579711197793	-0.0825751066062
CD4_C03_CD44	0.0154029808479	-0.494495796331	-0.0126867357786
CD4_C03_CD44	-0.170041839848	-0.556964724998	-0.17718971676
CD8_C08_GZMK	-0.459079332822	0.741365104474	-0.126076972959
CD4_C01_CCR7	-0.495211271381	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	0.257838158471	0.833851079019	0.230255994981
CD4_C01_CCR7	0.0119111216205	-0.511319114574	-0.2074983276
