cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	zero_count_spot	inference_unit
Wu_Zenodo_19123188	U001	Responder	1315	1577	0.249465402859714	0.422763257429734	0.829392073486355	8.93826914703855	8.10982627601848	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1781	1781	0.196174636246192	0.335103077408841	-0.360301471456634	12.4025066516122	9.3559114952954	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1759	1706	0.198918724007046	0.336189706317842	-0.30559815948046	12.3451038862253	9.36366213691983	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1576	1876	0.0723588238672601	0.46109219584156	-2.71573773485212	9.5700407347166	8.51137630609467	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1704	1538	0.224180761447726	0.454491088882884	-0.369363863732892	11.3829648324442	9.24319470884713	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1531	1539	0.276555226377069	0.447957719179975	0.553079396160223	11.6285105313053	9.25951141598263	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1673	1931	0.276125196656293	0.47355009507552	1.15050809169355	8.25556865328375	7.65964295456468	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1576	1838	0.20021327924425	0.364567999271286	-0.475061134067667	12.428980168992	9.36785680985117	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1434	1595	0.431907699513202	0.615206644279649	2.45707544620465	10.9228762424139	9.17884970488481	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1683	1613	0.202624529071763	0.443522545559349	-0.657301683582184	11.2514957636625	9.16878894481795	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1639	1464	0.261666014745029	0.4244070592297	0.48159284070205	11.3988268833691	9.25770094333602	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1607	1520	0.227541069859525	0.303608103580789	0.934737121750001	9.96119026266442	8.78569244445124	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1704	1463	0.227847891351486	0.290722049863268	0.576355255917825	11.9543688557436	9.32107641357085	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1488	1614	0.33646302406541	0.58896314380822	0.706427847535498	11.85564954659	9.36357634787504	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1760	1856	0.242499622703655	0.576061742339346	-0.749717465521658	11.2091411104924	9.18132342290569	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1564	1595	0.296338684468532	0.429555585385128	0.997664023180175	11.7258893791426	9.30455904721516	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1673	1781	0.191205396899128	0.332274580741435	-0.481044333121317	12.6281850814111	9.36973442412643	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1237	1110	0.303328380086252	0.755994447491463	-0.412665254337595	9.61760386202573	8.68135077758252	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1466	1614	0.490343601115995	0.619834288863534	3.30425452112986	11.6849441287683	9.347054195292	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1639	1613	0.222902169660429	0.409205356721628	-0.142578193500641	11.5127954565195	9.2580823679616	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1727	1838	0.216952551177672	0.331157622883003	0.0667046528807966	12.2607786101289	9.32062872587031	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1641	1875	0.32184267815873	0.489094192300548	0.992461943493922	12.1577748601224	9.38378935026654	FALSE	patient; spots nested
