gene	system	condition	contrast	native_effect	orientation_factor	eligible	is_AF35	is_PTPN22	oriented_effect	rank_score	average_rank	percentile_rank	gene_rank
STAT1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0494111151049747	-1	True	True	False	-0.0494111151049747	-0.3700641898463334	3239.0	0.3149679050768333	16
IRF1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.1435161011626993	-1	True	True	False	0.1435161011626993	0.7015172145496984	8748.0	0.8507586072748492	17
IFIT1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.2788495167437385	-1	True	True	False	0.2788495167437385	0.8571289632367243	9548.0	0.9285644816183621	18
IFIT2	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.9704768376237062	-1	True	True	False	-0.9704768376237062	-0.9952343901964599	25.0	0.0023828049017700836	19
IFIT3	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.5848990315907185	-1	True	True	False	-0.5848990315907185	-0.9777280684691694	115.0	0.01113596576541529	20
ISG15	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0248775620916326	-1	True	True	False	-0.0248775620916326	-0.18916553199766584	4169.0	0.4054172340011671	21
MX1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.032221259083458	-1	True	True	False	-0.032221259083458	-0.24110095312196067	3902.0	0.37944952343901966	22
OAS1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0213944957142004	-1	True	True	False	-0.0213944957142004	-0.1617389612915775	4310.0	0.41913051935421125	23
CXCL9	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.7260640915905627	-1	True	True	False	-0.7260640915905627	-0.9868702587045322	68.0	0.006564870647733904	24
CXCL10	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.5155652853626158	-1	True	True	False	-0.5155652853626158	-0.969169422291383	159.0	0.0154152888543085	25
IFNG	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0014289159744891	-1	True	True	False	0.0014289159744891	0.008072359463139556	5183.0	0.5040361797315698	26
TNF	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0577543892680275	-1	True	True	False	0.0577543892680275	0.3904882318615055	7149.0	0.6952441159307527	27
CCL5	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0265256398793638	-1	True	True	False	-0.0265256398793638	-0.20161447189262793	4105.0	0.39919276405368603	28
NKG7	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0023632195489136	-1	True	True	False	0.0023632195489136	0.013713285353044169	5212.0	0.5068566426765221	29
PRF1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0889128034856101	-1	True	True	False	-0.0889128034856101	-0.5822797121182649	2148.0	0.20886014394086755	30
GZMB	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0210412109759155	-1	True	True	False	-0.0210412109759155	-0.160377358490566	4317.0	0.419811320754717	31
PDCD1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.4008194593155235	-1	True	True	False	0.4008194593155235	0.911982104648901	9830.0	0.9559910523244505	32
LAG3	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0105129358171039	-1	True	True	False	0.0105129358171039	0.07304026453997281	5517.0	0.5365201322699864	33
TIGIT	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.1010121748923641	-1	True	True	False	-0.1010121748923641	-0.6365493094728651	1869.0	0.1817253452635674	34
TOX	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.7559714963658766	-1	True	True	False	0.7559714963658766	0.9652791285742073	10104.0	0.9826395642871036	35
