cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	inference_unit
GSE238264	U012	Responder	1365	1175	0.0577701548614917	0.699702696679467	-0.684361932549522	7.33106030521863	6.70441435496411	patient; spots nested
GSE238264	U012	Responder	1238	1527	0.37227824717845	1.58368051284211	3.02666154182046	7.72356247227797	6.95081476844258	patient; spots nested
GSE238264	U012	Responder	1695	956	0	0.251121458725598	-0.799174181227783	6.51471269087253	6.06842558824411	patient; spots nested
GSE238264	U012	Responder	1062	1351	0.0975875428865427	0.668134827953703	-0.10413537510945	7.70300768247924	7.01571242048723	patient; spots nested
GSE238264	U012	Responder	303	1437	0.134278073492905	0.69423857688934	0.318692426303221	8.11999382772511	7.31521838975297	patient; spots nested
GSE238264	U012	Responder	1125	1329	0.183182682460733	0.872364753044053	0.812523837858708	8.25322764558177	7.38523092306657	patient; spots nested
GSE238264	U012	Responder	1164	691	0.292393699239147	1.1928655264944	2.19389001100895	8.11761074646623	7.33888813383888	patient; spots nested
GSE238264	U012	Responder	1518	603	0.0959690000284092	0.689878899291621	-0.491490759760001	8.7340771925593	7.70210434005105	patient; spots nested
GSE238264	U012	Responder	872	1636	0.12195209567061	0.670727638892183	0.114418508972152	8.06369263426952	7.15070145759253	patient; spots nested
GSE238264	U012	Responder	1025	669	0.149738773857663	0.713704598310136	0.686862198154687	7.65539064482615	7.00124562206948	patient; spots nested
GSE238264	U012	Responder	1390	1351	0.0611699717100021	0.768805976783969	-0.688190604386093	7.19518732017871	6.58617165485467	patient; spots nested
GSE238264	U012	Responder	1365	1263	0.0591788501995308	0.713881261223767	-0.666541901506177	7.27447955877387	6.65672652417839	patient; spots nested
GSE238264	U012	Responder	695	1196	0.119149908269308	0.563765814261694	-0.245038548545451	9.54652685348758	8.19726337141434	patient; spots nested
GSE238264	U012	Responder	733	1218	0.177601719185771	0.764736284609277	0.420260658484439	9.59655470049221	8.26204284396694	patient; spots nested
GSE238264	U012	Responder	709	690	0.153789452871374	1.18347152926041	-0.0914229778485419	8.46842302704681	7.60090245954208	patient; spots nested
GSE238264	U012	Responder	1138	955	0.100117465126321	0.566538226576918	0.065563429521487	7.64921631982063	6.93828448401696	patient; spots nested
GSE238264	U012	Responder	1631	1198	0	0	0.0431387172183736	4.35670882668959	4.23410650459726	patient; spots nested
GSE238264	U012	Responder	973	1373	0.171661747387914	0.754784602705485	0.828133449612245	8.14322675036744	7.3362856600213	patient; spots nested
GSE238264	U012	Responder	759	998	0.122739325313694	0.689896650247805	-0.141617475556827	9.05660627203414	7.98309894071089	patient; spots nested
GSE238264	U012	Responder	1365	1483	0.172776582633317	1.04514927757936	0.629318696686892	7.33823815006559	6.57368016696065	patient; spots nested
GSE238264	U012	Responder	1379	933	0.307738364356299	1.14889362297891	2.50423057329238	8.08425410630732	7.31588350450979	patient; spots nested
GSE238264	U012	Responder	720	1328	0.246442787625892	1.16154392405659	1.47520922464234	8.24485939591126	7.44658509915773	patient; spots nested
GSE238264	U012	Responder	1808	1286	0	0	0.122775074059639	3.95124371858143	3.85014760171006	patient; spots nested
GSE238264	U012	Responder	1038	515	0.279740185999964	1.06230105378931	2.37325950274378	7.40488757561612	6.82219739062049	patient; spots nested
GSE238264	U012	Responder	1038	603	0	0.868737568174488	-1.84488055300815	7.54697411751653	6.94312242281943	patient; spots nested
GSE238264	U012	Responder	544	800	0.0386420541489362	0.421906952270738	-0.855885250830705	8.15737044118677	7.34471905414967	patient; spots nested
GSE238264	U012	Responder	291	843	0.0566926040728434	0.958466680741363	-1.02005461050315	7.37462901521894	6.79794041297493	patient; spots nested
GSE238264	U012	Responder	1643	1660	0	0	0.0964056497156493	3.91202300542815	3.73766961828337	patient; spots nested
GSE238264	U012	Responder	277	1525	0.194945973506869	0.634977304652658	0.733421492028305	9.90433719149071	8.40178233990491	patient; spots nested
GSE238264	U012	Responder	884	1482	0.109173097451927	0.719746246603524	-0.181890667909511	8.26513562993738	7.36137542897735	patient; spots nested
