source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	removed_state	removed_cell_n
GSE235863	U001	LOSO_CD8_C03_CX3CR1	ALL	2190	19	0.767521343093708	0.0471259153719684	0.249481361792486	0.171080537652289	0.0784008241401969	-2.77555756156289e-17	0.101031638158094	0.105688821743647	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C03_CX3CR1	53
GSE235863	U002	LOSO_CD8_C03_CX3CR1	ALL	1366	19	0.687707211131988	0.03865565611607	0.251326027898636	0.180424177364058	0.0709018505345786	-2.77555756156289e-17	0.0909540913787931	0.0968280109448841	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C03_CX3CR1	9
GSE235863	U003	LOSO_CD8_C03_CX3CR1	ALL	1668	16	0.714675811160446	0.0724556081828727	0.108759690039156	0.0507401910336651	0.0580194990054906	6.93889390390723e-18	0.0648894409953397	0.0654390271093094	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD8_C03_CX3CR1	122
GSE235863	U004	LOSO_CD8_C03_CX3CR1	ALL	1187	16	1.04331069742391	0.0628077774459926	0.284090083508469	0.168881383688653	0.115208699819817	-1.38777878078145e-17	0.141117317657225	0.151791975531205	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C03_CX3CR1	2
GSE235863	U005	LOSO_CD8_C03_CX3CR1	ALL	1454	17	1.1858260651177	0.0811525804778564	0.178105292188442	0.200494045137272	-0.0223887529488306	-3.81639164714898e-17	-0.0305175159869244	-0.0379378664134836	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD8_C03_CX3CR1	5
GSE235863	U006	LOSO_CD8_C04_GIMAP4	ALL	1032	16	0.687892015007721	0.0335562839666595	0.145815214142113	0.0869886196921841	0.058826594449929	3.46944695195361e-17	0.0674289121363768	0.0515614789857821	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C04_GIMAP4	0
GSE235863	U001	LOSO_CD8_C04_GIMAP4	ALL	2238	19	0.767813067677262	0.047241123164596	0.245726373530598	0.166401450716357	0.0793249228142403	2.77555756156289e-17	0.102252402530388	0.107946351390127	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C04_GIMAP4	5
GSE235863	U002	LOSO_CD8_C04_GIMAP4	ALL	1371	19	0.688613095484121	0.0388674681247807	0.250253118066511	0.178058243100408	0.0721948749661022	6.93889390390723e-17	0.0927710994593964	0.0985853493916448	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C04_GIMAP4	4
GSE235863	U003	LOSO_CD8_C04_GIMAP4	ALL	1789	16	0.716134110061461	0.0704341915090606	0.0978147217756901	0.0476246558615813	0.0501900659141088	0	0.0558471693112154	0.0592279515085446	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD8_C04_GIMAP4	1
GSE235863	U004	LOSO_CD8_C04_GIMAP4	ALL	1189	17	1.0424973128862	0.0627205179636984	0.284065993444119	0.169075384028297	0.114990609415822	0	0.140884068110793	0.151524289668881	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C04_GIMAP4	0
