source	plot_unit	state	lineage	cell_n	cell_fraction	mean_Xz	mean_Yz	signed_contribution	absolute_contribution	full_patient_eligible
GSE235863	U004	CD4_C07_CTLA4	CD4	379	0.318755256518082	0.473189705831847	0.450996929555607	0.0680246363145639	0.0680246363145639	True
GSE235863	U004	CD4_C08_FOXP3	CD4	10	0.00841042893187553	-0.25670402887143	-0.21775217611656	0.000470124986582356	0.000470124986582356	True
GSE235863	U004	CD4_C09_MKI67	CD4	12	0.0100925147182506	0.172564541156742	1.22181168397693	0.00212791965643828	0.00212791965643828	True
GSE235863	U004	CD8_C01_LEF1	CD8	2	0.00168208578637511	-1.02833375100096	-1.35415239866557	0.00234233913464544	0.00234233913464544	True
GSE235863	U004	CD8_C02_GPR183	CD8	1	0.000841042893187553	0.470940848791098	-0.797243425449838	-0.00031577333513412	0.00031577333513412	True
GSE235863	U004	CD8_C03_CX3CR1	CD8	2	0.00168208578637511	-0.451490440015269	-0.387826183596055	0.00029453290879937	0.00029453290879937	True
GSE235863	U004	CD8_C04_GIMAP4	CD8	0	0	NA	NA	0	0	True
GSE235863	U004	CD8_C05_CCR7	CD8	4	0.00336417157275021	0.0712232452440686	-0.277131847375565	-6.64027906831677e-05	6.64027906831677e-05	True
GSE235863	U004	CD8_C06_IKZF2	CD8	0	0	NA	NA	0	0	True
GSE235863	U004	CD8_C07_KIR2DL4	CD8	15	0.0126156433978133	0.224981648658925	-0.257941014704302	-0.000732110951365812	0.000732110951365812	True
GSE235863	U004	CD8_C08_GZMK	CD8	108	0.0908326324642557	-0.13752572473428	-0.121912664360566	0.00152291149891605	0.00152291149891605	True
GSE235863	U004	CD8_C09_LAYN	CD8	40	0.0336417157275021	0.695843775792791	1.01426180431897	0.023743238471311	0.023743238471311	True
GSE235863	U004	CD8_C10_SLC4A10	CD8	141	0.118587047939445	-0.229060719578962	-0.137907790873581	0.00374607683064735	0.00374607683064735	True
GSE235863	U004	CD8_C11_MKI67	CD8	13	0.0109335576114382	0.151209753304299	0.720605177013547	0.00119134811067977	0.00119134811067977	True
GSE235863	U005	CD4_C01_CCR7	CD4	6	0.00411240575736806	-0.532632206514536	-1.33375822806937	0.00292146369283143	0.00292146369283143	True
GSE235863	U005	CD4_C02_IL7R	CD4	5	0.00342700479780672	-0.726701540644457	-0.905465363274985	0.00225497969325608	0.00225497969325608	True
GSE235863	U005	CD4_C03_CD44	CD4	26	0.0178204249485949	-0.656131338450803	-0.847857152919562	0.00991360305864645	0.00991360305864645	True
GSE235863	U005	CD4_C04_GZMK	CD4	254	0.174091843728581	-0.571385672753376	-0.782583550753523	0.0778463915509177	0.0778463915509177	True
GSE235863	U005	CD4_C05_GNLY	CD4	2	0.00137080191912269	-1.19437559933189	0.039343910474002	-6.44159104214484e-05	6.44159104214484e-05	True
GSE235863	U005	CD4_C06_CXCL13	CD4	185	0.126799177518849	-0.0931190901592646	-0.478853436981264	0.00565402558512436	0.00565402558512436	True
GSE235863	U005	CD4_C07_CTLA4	CD4	128	0.087731322823852	-0.0401727961096796	-0.329289533121662	0.0011605521612193	0.0011605521612193	True
GSE235863	U005	CD4_C08_FOXP3	CD4	2	0.00137080191912269	-0.0214406347854154	-0.938009997257877	2.75689236138103e-05	2.75689236138103e-05	True
