major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD4	CD4_C03_CD44	3	0.497513966903459	1.0193253	1.4007722
CD4	CD4_C03_CD44	3	-0.327407863722061	1.0436925	-0.14037006
CD4	CD4_C07_CTLA4	7	-0.0328587809230977	-5.290108	7.1436563
CD4	CD4_C07_CTLA4	7	-0.126693302428764	-4.3584437	5.1609774
CD4	CD4_C03_CD44	3	-0.178997408501984	2.0081155	1.0786357
CD8	CD8_C08_GZMK	17	0.0764117236209339	7.5621095	6.5609493
CD8	CD8_C08_GZMK	17	0.0960259069301495	9.12832	6.086125
CD4	CD4_C07_CTLA4	7	0.290755961155919	-6.0450716	5.9515495
CD4	CD4_C07_CTLA4	7	-0.209323066813784	-5.7612596	6.5712447
CD8	CD8_C11_MKI67	20	0.266614952683117	9.559447	11.3157625
CD8	CD8_C09_LAYN	18	0.524670620856914	10.693317	7.744629
CD4	CD4_C07_CTLA4	7	0.0338510289479052	-5.702549	4.956882
CD4	CD4_C07_CTLA4	7	0.175361041790438	-4.0009813	4.6655736
CD4	CD4_C07_CTLA4	7	-0.0623467479250485	-4.508542	5.106268
CD4	CD4_C06_CXCL13	6	0.392862268725719	-0.5452802	5.545594
CD8	CD8_C07_KIR2DL4	16	0.243272515167728	9.833464	5.8338075
CD4	CD4_C09_MKI67	9	-0.279833091927471	0.34604293	6.594606
CD4	CD4_C07_CTLA4	7	-0.0124723120356338	-5.214149	5.4669685
CD4	CD4_C07_CTLA4	7	0.0266231503525613	-5.7171984	6.7102475
CD4	CD4_C03_CD44	3	0.0780562939898495	2.9832935	2.2811332
CD4	CD4_C07_CTLA4	7	-0.11583040932077	-4.077595	3.8790617
CD8	CD8_C10_SLC4A10	19	-0.284717545404112	6.9057913	8.042129
CD4	CD4_C07_CTLA4	7	0.290358683491127	-4.8898654	6.7910976
CD4	CD4_C04_GZMK	4	-0.171693113731054	2.854999	4.090545
CD8	CD8_C10_SLC4A10	19	0.2551789688469	2.5666351	9.395853
CD4	CD4_C06_CXCL13	6	0.196025494623296	-1.056618	5.974351
CD4	CD4_C04_GZMK	4	-0.287811510262799	2.9740515	3.3592393
CD8	CD8_C10_SLC4A10	19	-0.0380496882180905	3.0756671	10.015057
CD4	CD4_C07_CTLA4	7	0.528928835932856	-4.7216673	6.0664587
CD4	CD4_C07_CTLA4	7	0.0347010700527111	-3.8867345	4.5618405
CD8	CD8_C07_KIR2DL4	16	0.410582784655314	10.085546	6.9542217
CD4	CD4_C07_CTLA4	7	-0.279082935436545	-4.5408683	5.0246696
CD4	CD4_C07_CTLA4	7	-0.0912573134370586	-5.158591	5.191063
CD8	CD8_C09_LAYN	18	0.163838238005812	9.584955	7.220549
CD4	CD4_C04_GZMK	4	-0.0806467758601201	1.962287	3.5451434
CD4	CD4_C04_GZMK	4	0.262829376507649	3.7789364	2.9017434
CD8	CD8_C08_GZMK	17	-0.089276002030011	6.7696247	7.8478627
CD8	CD8_C09_LAYN	18	-0.172919671859403	9.970931	6.821744
CD8	CD8_C07_KIR2DL4	16	0.247972892695433	9.531639	6.0780654
CD4	CD4_C07_CTLA4	7	-0.0568750994568572	-3.1136806	7.1914587
CD4	CD4_C07_CTLA4	7	0.0368745796115204	-4.4673357	5.660275
CD4	CD4_C07_CTLA4	7	-0.226697715595639	-5.691906	5.724447
CD4	CD4_C07_CTLA4	7	-0.306359381890121	-4.513537	5.4462657
CD4	CD4_C07_CTLA4	7	0.0294008309842327	-2.9645617	4.8998485
CD4	CD4_C07_CTLA4	7	-0.365553919764406	-4.315401	4.0665407
CD4	CD4_C07_CTLA4	7	0.0887665015443167	-4.4821086	5.93601
CD4	CD4_C07_CTLA4	7	0.0255018590019474	-4.4463515	4.5482683
CD4	CD4_C03_CD44	3	-0.0140791950191563	1.7872652	1.1357378
CD8	CD8_C09_LAYN	18	0.298147718993519	10.237635	8.173636
CD8	CD8_C09_LAYN	18	0.27654408098353	10.669497	7.1971817
CD8	CD8_C08_GZMK	17	0.130105840667704	9.137214	5.349743
CD4	CD4_C06_CXCL13	6	0.0528269599596155	-3.281048	4.761555
CD4	CD4_C01_CCR7	1	-0.0769182360241883	0.38243076	2.9475422
CD8	CD8_C10_SLC4A10	19	0.173612831300514	2.151043	9.467103
CD4	CD4_C08_FOXP3	8	0.13815991836471	-4.888582	3.943694
CD8	CD8_C09_LAYN	18	-0.0257006867460361	9.352179	7.8470254
CD4	CD4_C07_CTLA4	7	0.503561632391511	-5.5345078	7.297088
